2023-12-23 12:33:19.5908 | INFO | Physiosoft.Logger.NLogger | Main: Creating Builder with args 
2023-12-23 12:33:19.7961 | INFO | Physiosoft.Logger.NLogger | Main: Creating connection 
2023-12-23 12:33:19.8436 | INFO | Physiosoft.Logger.NLogger | Main: Adding Authentication Services 
2023-12-23 12:33:19.8708 | INFO | Physiosoft.Logger.NLogger | Main: Adding Ddatabase Context via 
2023-12-23 12:33:19.8708 | INFO | Physiosoft.Logger.NLogger | Main: Adding Services to the container/builder 
2023-12-23 12:33:19.9354 | INFO | Physiosoft.Logger.NLogger | Main: Building app 
2023-12-23 12:33:20.0904 | INFO | Physiosoft.Logger.NLogger | Main: Starting Application 
2023-12-23 12:35:32.0152 | INFO | Physiosoft.Logger.NLogger | Main: Creating Builder with args 
2023-12-23 12:35:32.2470 | INFO | Physiosoft.Logger.NLogger | Main: Creating connection 
2023-12-23 12:35:32.2977 | INFO | Physiosoft.Logger.NLogger | Main: Adding Authentication Services 
2023-12-23 12:35:32.3264 | INFO | Physiosoft.Logger.NLogger | Main: Adding Ddatabase Context via 
2023-12-23 12:35:32.3264 | INFO | Physiosoft.Logger.NLogger | Main: Adding Services to the container/builder 
2023-12-23 12:35:32.3836 | INFO | Physiosoft.Logger.NLogger | Main: Building app 
2023-12-23 12:35:32.5208 | INFO | Physiosoft.Logger.NLogger | Main: Starting Application 
2023-12-23 12:39:18.1295 | INFO | Physiosoft.Logger.NLogger | Main: Creating Builder with args 
2023-12-23 12:39:18.3656 | INFO | Physiosoft.Logger.NLogger | Main: Creating connection 
2023-12-23 12:39:18.4232 | INFO | Physiosoft.Logger.NLogger | Main: Adding Authentication Services 
2023-12-23 12:39:18.4507 | INFO | Physiosoft.Logger.NLogger | Main: Adding Ddatabase Context via 
2023-12-23 12:39:18.4507 | INFO | Physiosoft.Logger.NLogger | Main: Adding Services to the container/builder 
2023-12-23 12:39:18.5227 | INFO | Physiosoft.Logger.NLogger | Main: Building app 
2023-12-23 12:39:18.6806 | INFO | Physiosoft.Logger.NLogger | Main: Starting Application 
2023-12-23 12:39:27.8213 | ERROR | Physiosoft.Logger.NLogger | Edit: Error occurred while editing a patient entity. Ex: An error occurred while saving the entity changes. See the inner exception for details. 
2023-12-23 12:40:44.2682 | INFO | Physiosoft.Logger.NLogger | Main: Creating Builder with args 
2023-12-23 12:40:44.4720 | INFO | Physiosoft.Logger.NLogger | Main: Creating connection 
2023-12-23 12:40:44.5176 | INFO | Physiosoft.Logger.NLogger | Main: Adding Authentication Services 
2023-12-23 12:40:44.5505 | INFO | Physiosoft.Logger.NLogger | Main: Adding Ddatabase Context via 
2023-12-23 12:40:44.5505 | INFO | Physiosoft.Logger.NLogger | Main: Adding Services to the container/builder 
2023-12-23 12:40:44.6188 | INFO | Physiosoft.Logger.NLogger | Main: Building app 
2023-12-23 12:40:44.7746 | INFO | Physiosoft.Logger.NLogger | Main: Starting Application 
2023-12-23 12:48:33.0555 | INFO | Physiosoft.Logger.NLogger | Main: Creating Builder with args 
2023-12-23 12:48:33.3063 | INFO | Physiosoft.Logger.NLogger | Main: Creating connection 
